date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,883.5,880,883.5,881.75,3.5,2,376371,426,1
0,09:15:00.000000000,NSECM,GAIL,162.21,162.21,162.5,162.355,0.29,1,4868246.52,30012,1
0,09:15:00.000000000,NSEFO,GAIL25FEBFUT,163,162.57,163.47,163.02,0.9,2350,383050,2350,2350
0,09:15:00.000000000,NSEFO,GAIL25MARFUT,164.43,161.62,164.89,163.255,3.27,2350,386410.5,2350,2350
0,09:15:00.000000000,NSECM,GLENMARK,1350,1350,1365.35,1357.675,15.35,20,1429650,1059,1
0,09:15:00.000000000,NSEFO,GLENMARK25FEBFUT,1377,1354.1,1384.1,1369.1,30,325,447525,325,325
0,09:15:00.000000000,NSEFO,GLENMARK25MARFUT,1383.1,1342.7,1398.5,1370.6,55.8,325,449507.5,325,325
0,09:15:00.000000000,NSECM,GMRAIRPORT,70.96,70.75,70.97,70.86,0.22,80,2268404.45,32017,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25FEBFUT,70.69,70.69,71.38,71.035,0.69,5625,397631.25,5625,5625
0,09:15:00.000000000,NSEFO,GMRAIRPORT25MARFUT,71.12,70.2,72.36,71.28,2.16,5625,400050,5625,5625
0,09:15:00.000000000,NSECM,GODREJCP,1015.55,1015.55,1016,1015.775,0.45,3,575816.85,567,1
0,09:15:00.000000000,NSEFO,GODREJCP25FEBFUT,1015.65,1003.25,1018.5,1010.875,15.25,500,507825,500,500
0,09:15:00.000000000,NSEFO,GODREJCP25MARFUT,1021.55,1012.7,inf,inf,inf,500,510775,500,500
0,09:15:00.000000000,NSECM,GODREJPROP,1970,1969.8,1970,1969.9,0.2,1,951510,483,1
0,09:15:00.000000000,NSEFO,GODREJPROP25FEBFUT,1974.2,1941.55,2005.05,1973.3,63.5,225,444195,225,225
0,09:15:00.000000000,NSEFO,GODREJPROP25MARFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GRASIM,2448,2448,2449.6,2448.8,1.6,13,193392,79,1
0,09:15:00.000000000,NSEFO,GRASIM25FEBFUT,2450.5,2467.15,2492.55,2479.85,25.4,250,612625,250,250
0,09:15:00.000000000,NSEFO,GRASIM25MARFUT,2464,2409.05,inf,inf,inf,250,616000,250,250
0,09:15:00.000000000,NSECM,LAURUSLABS,539,537.05,539,538.025,1.95,4,1294678,2402,1
0,09:15:00.000000000,NSEFO,LAURUSLABS25FEBFUT,543.1,530.55,542,536.275,11.45,1700,923270,1700,1700
0,09:15:00.000000000,NSEFO,LAURUSLABS25MARFUT,545.85,530.45,552.5,541.475,22.05,1700,927945,1700,1700
0,09:15:00.000000000,NSECM,LICHSGFIN,530,530,530.35,530.175,0.35,100,1692290,3193,1
0,09:15:00.000000000,NSEFO,LICHSGFIN25FEBFUT,529.8,526.05,533.8,529.925,7.75,2000,1059600,2000,1000
0,09:15:00.000000000,NSEFO,LICHSGFIN25MARFUT,532.85,526.8,561.3,544.05,34.5,1000,532850,1000,1000
0,09:15:00.000000000,NSECM,LICI,754.05,754.05,755,754.525,0.95,8,3856211.7,5114,1
0,09:15:00.000000000,NSEFO,LICI25FEBFUT,761.15,751.05,759.3,755.175,8.25,575,437661.25,575,575
0,09:15:00.000000000,NSEFO,LICI25MARFUT,761.05,751.35,785.65,768.5,34.3,575,437603.75,575,575
0,09:15:00.000000000,NSECM,LODHA,1159,1156,1159,1157.5,3,2,1024556,884,1
0,09:15:00.000000000,NSEFO,LODHA25FEBFUT,1168.85,1150.55,1167.35,1158.95,16.8,450,525982.5,450,450
0,09:15:00.000000000,NSEFO,LODHA25MARFUT,1162.05,1133.1,1190.8,1161.95,57.7,450,522922.5,450,450
0,09:15:00.000000000,NSECM,LT,3220.15,3220.15,3221.9,3221.025,1.75,20,2131739.3,662,1
0,09:15:00.000000000,NSEFO,LT25FEBFUT,3228.65,3200.3,3239.7,3220,39.4,150,484297.5,150,150
0,09:15:00.000000000,NSEFO,LT25MARFUT,3238,3215.05,3250,3232.525,34.95,150,485700,150,150
0,09:15:00.000000000,NSECM,LTF,132.44,132.4,132.44,132.42,0.04,25,1170902.04,8841,1
0,09:15:00.000000000,NSEFO,LTF25FEBFUT,131.51,130.21,133.9,132.055,3.69,4462,586797.62,4462,4462
0,09:15:00.000000000,NSEFO,LTF25MARFUT,129.53,-inf,132.6,-inf,inf,4462,577962.86,4462,4462
0,09:15:00.000000000,NSECM,LTIM,5657,5656.85,5657,5656.925,0.15,2,967347,171,1
0,09:15:00.000000000,NSEFO,LTIM25FEBFUT,5651,5335,5668.9,5501.95,333.9,150,847650,150,150
0,09:15:00.000000000,NSEFO,LTIM25MARFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LUPIN,1950,1945.15,1950,1947.575,4.85,5,8507850,4363,1
0,09:15:00.000000000,NSEFO,LUPIN25FEBFUT,1954.55,1946.4,1954.65,1950.525,8.25,425,3335740,1700,425
0,09:15:00.000000000,NSEFO,LUPIN25MARFUT,2017.55,1960,2017.35,1988.675,57.35,425,857458.75,425,425
0,09:15:00.000000000,NSECM,SAIL,103.41,103.41,103.7,103.555,0.29,2,3174480.18,30698,1
0,09:15:00.000000000,NSEFO,SAIL25FEBFUT,104.49,104.04,105.96,105,1.92,4000,417960,4000,4000
0,09:15:00.000000000,NSEFO,SAIL25MARFUT,104.75,103.09,110.66,106.875,7.57,4000,419000,4000,4000
0,09:15:00.000000000,NSECM,SBICARD,861,861.7,862.65,862.175,0.95,73,1003247.56,1162,1
0,09:15:00.000000000,NSEFO,SBICARD25FEBFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBICARD25MARFUT,856.25,835.7,864.45,850.075,28.75,800,685000,800,800
